"CDM_LVL"	"CDM_LVL_NAME"	"Titel"	"Quelle"	"Publikation"	"Ausgabe"	"Autor"	"Jahr"	"Verlag"	"Ort"	"Typ"	"Dateiformat"	"Bemerkungen"	"Dateiname"	
	"Rätoromanische Chrestomathie II. Band, 2. u. 3. Liefg."	"Rätoromanische Chrestomathie II. Band, 2. u. 3. Liefg."	"http://www.digizeitschriften.de/resolveppn/PPN345572629_0011"	"Romanische Forschungen"	"11"	"C. Decurtins"	"1901"	"Junge"	"Erlangen"	"Image"	"image/tif"	
"0"	"Rätoromanische Chrestomathie II. Band, 2. u. 3. Liefg."	"Titelblatt"										"o"	"00000005.tif"	
()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()()"1"	"TitlePage: Titelblatt"	"657"										"o"	"00000657.tif"	
"1"	"TitlePage: Titelblatt"	"658"										"o"	"00000658.tif"	
"1"	"Dedication: Florin Berther, dem Freunde"	"659"										"o"	"00000659.tif"	
()"1"	"Chapter 1: Volkslieder"	"641"										"o"	"00000661.tif"	
"1"	"Chapter 1: Volkslieder"	"642"										"o"	"00000662.tif"	
"1"	"Chapter 1: Volkslieder"	"643"										"o"	"00000663.tif"	
"1"	"Chapter 1: Volkslieder"	"644"										"o"	"00000664.tif"	
"1"	"Chapter 1: Volkslieder"	"645"										"o"	"00000665.tif"	
